keyword,language,intent,cluster,page_type,priority,difficulty,geo_scope,content_format,slug,title_tag,h1,difficulty_score,opportunity_index
mundo mágico aveiro loja,PT,brand/navigational,Marca,Homepage,5,Very Low,Local,Homepage,/,Mundo Mágico — Loja Esotérica em Aveiro | Tradição Ancestral,Mundo Mágico — Loja Esotérica em Aveiro,6,80
consulta tarot aveiro,PT,local service,Tarot Local,Service landing page,5,Low,Local,Service page + FAQ,/consulta-tarot-aveiro,Consulta de Tarot em Aveiro | Mundo Mágico,Consulta de Tarot em Aveiro — Leitura Presencial e Online,5,75
tarot aveiro,PT,local service,Tarot Local,Service landing page,5,Low-Medium,Local,Service page + FAQ,/consulta-tarot-aveiro,Consulta de Tarot em Aveiro | Mundo Mágico,Consulta de Tarot em Aveiro — Leitura Presencial e Online,4,70
limpeza espiritual portugal,PT,service/informational,Limpeza Espiritual,Service page + FAQ,5,Low-Medium,National,Service page + informational,/limpeza-espiritual,Limpeza Espiritual em Portugal | Ritual Ancestral | Mundo Mágico,Limpeza Espiritual — Ritual Ancestral de Purificação,4,70
loja esotérica aveiro,PT,local/commercial,Loja Esotérica,Homepage / local page,5,Low-Medium,Local,Home + local landing page,/loja-esoterica-aveiro,Loja Esotérica em Aveiro | Mundo Mágico,"Loja Esotérica em Aveiro — Cristais, Velas e Rituais Ancestrais",4,70
banho limpeza espiritual,PT,informational/product,Banhos de Ervas,Blog + collection page,5,Low-Medium,National,How-to + product collection,/blog/banho-limpeza-espiritual,Banho de Limpeza Espiritual — Como Fazer e Para Que Serve,"Banho de Limpeza Espiritual — Tradição, Benefícios e Como Preparar",4,70
leitura de cartas aveiro,PT,local service,Tarot Local,Service landing page,4,Low,Local,Service page + FAQ,/consulta-tarot-aveiro,Leitura de Cartas de Tarot em Aveiro | Mundo Mágico,Leitura de Cartas em Aveiro — Tarot de Marseille,5,65
taróloga aveiro,PT,local service,Tarot Local,Service landing page,4,Low,Local,Service page + about,/consulta-tarot-aveiro,Taróloga em Aveiro | Mundo Mágico,Taróloga em Aveiro — Consultas Presenciais,5,65
vela ritual para proteção,PT,product,Velas Rituais,Product page,4,Low,National,Product page + FAQ,/velas-rituais/protecao,Vela Ritual de Proteção | Mundo Mágico,Vela Ritual de Proteção — Blindagem e Equilíbrio Energético,5,65
ervas e defumadores portugal,PT,product category,Ervas e Defumadores,Category page,4,Low,National,Category + descriptions,/ervas-e-defumadores,Ervas e Defumadores Esotéricos em Portugal | Mundo Mágico,"Ervas e Defumadores — Tradição, Purificação e Rituais",5,65
defumação espiritual,PT,informational/product,Ervas e Defumadores,Blog + category,4,Low,National,Article + product listing,/blog/defumacao-espiritual,Defumação Espiritual — Como Fazer e Para Que Serve | Mundo Mágico,"Defumação Espiritual — Tradição, Ervas e Ritual",5,65
velas rituais portugal,PT,product category,Velas Rituais,Category page,5,Medium,National,Category page + descriptions,/velas-rituais,Velas Rituais em Portugal | Comprar Online | Mundo Mágico,"Velas Rituais — Intenções, Cores e Tradição Ancestral",3,65
sobre rituais esotéricos tradição,PT,informational,Trust & EEAT,About page,4,Low,National,About page + practitioner story,/sobre-nos,"Sobre o Mundo Mágico — Tradição, Experiência e Missão",Sobre o Mundo Mágico — Quem Somos e a Nossa Tradição,5,65
ervas para banho espiritual,PT,informational/product,Banhos de Ervas,Blog + product link,4,Low,National,Informational + product listing,/blog/ervas-para-banho-espiritual,Ervas Para Banho Espiritual — Lista Completa | Mundo Mágico,Ervas Para Banho Espiritual — As Mais Poderosas e Como Usar,5,65
